Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Giannis Antetokounmpo,27,MIL,PF,12,12,37.3,11.7,23.8,0.491,0.8,3.4,0.22,10.9,20.3,0.537,0.507,7.6,11.2,0.679,2.2,12,14.2,6.8,0.7,1.3,4.5,3.6,31.7,,antetgi01
2,Luka Dončić,22,DAL,PG,15,15,36.8,10.7,23.5,0.455,3.4,9.9,0.345,7.3,13.6,0.534,0.527,6.9,9,0.77,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7,,doncilu01
3,Nikola Jokić,26,DEN,C,5,5,34.2,12.2,21.2,0.575,1,3.6,0.278,11.2,17.6,0.636,0.599,5.6,6.6,0.848,3.4,9.8,13.2,5.8,1.6,1,4.8,4,31,,jokicni01
4,Jimmy Butler,32,MIA,SF,17,17,37,9.8,19.3,0.506,1.4,4,0.338,8.4,15.3,0.55,0.541,6.5,7.8,0.841,2.4,4.9,7.4,4.6,2.1,0.6,1.5,1.5,27.4,,butleji01
5,Stephen Curry,33,GSW,PG,22,18,34.7,9.2,20,0.459,4.1,10.4,0.397,5,9.6,0.526,0.563,4.9,5.9,0.829,0.5,4.7,5.2,5.9,1.3,0.4,2.6,2.7,27.4,Finals MVP-1,curryst01
6,Ja Morant,22,MEM,PG,9,9,37.6,9,20.4,0.44,1.9,5.6,0.34,7.1,14.9,0.478,0.486,7.2,9.7,0.747,1.4,6.6,8,9.8,2,0.4,3.6,2.4,27.1,,moranja01
7,Brandon Ingram,24,NOP,SF,6,6,39.3,9.3,19.7,0.475,1.8,4.5,0.407,7.5,15.2,0.495,0.521,6.5,7.8,0.83,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27,,ingrabr01
8,Kevin Durant,33,BRK,PF,4,4,44,8,20.8,0.386,1.8,5.3,0.333,6.3,15.5,0.403,0.428,8.5,9.5,0.895,0.5,5.3,5.8,6.3,1,0.3,5.3,3.8,26.3,,duranke01
9,Jayson Tatum,23,BOS,SF,24,24,41,8.4,19.7,0.426,3.2,8.2,0.393,5.2,11.5,0.449,0.507,5.7,7.1,0.8,1,5.7,6.7,6.2,1.2,0.9,4.2,3,25.6,,tatumja01
10,Donovan Mitchell,25,UTA,SG,6,6,38.2,8.8,22.2,0.398,1.7,8,0.208,7.2,14.2,0.506,0.436,6.2,7,0.881,1,3.3,4.3,5.7,0.7,0.5,2.7,2.3,25.5,,mitchdo01
11,Anthony Edwards,20,MIN,SG,6,6,37.8,8.3,18.3,0.455,3.8,9.5,0.404,4.5,8.8,0.509,0.559,4.7,5.7,0.824,0.7,3.5,4.2,3,1.2,1.2,2.5,3.7,25.2,,edwaran01
12,Joel Embiid,27,PHI,C,10,10,38.5,7.8,16.1,0.484,0.7,3.3,0.212,7.1,12.8,0.555,0.506,7.3,8.9,0.82,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6,,embiijo01
13,Devin Booker,25,PHO,SG,10,10,36.6,7.9,17.5,0.451,2.8,6.5,0.431,5.1,11,0.464,0.531,4.7,5.3,0.887,1,3.8,4.8,4.4,0.5,0.4,3.2,2.5,23.3,,bookede01
14,Jaylen Brown,25,BOS,SF,24,24,38.3,8.2,17.5,0.47,2.5,6.7,0.373,5.7,10.8,0.531,0.542,4.2,5.5,0.763,1.4,5.5,6.9,3.5,1.1,0.4,3.1,3,23.1,,brownja02
15,Pascal Siakam,27,TOR,PF,6,6,43.3,8.5,17.8,0.477,0.7,2.8,0.235,7.8,15,0.522,0.495,5.2,6,0.861,1.3,5.8,7.2,5.8,1.2,1,2.2,4,22.8,,siakapa01
16,CJ McCollum,30,NOP,PG,6,6,39,8.2,20.8,0.392,2.8,8.5,0.333,5.3,12.3,0.432,0.46,3,4.3,0.692,1.8,4.8,6.7,4.8,0.7,0.8,2.5,2.5,22.2,,mccolcj01
17,Karl-Anthony Towns,26,MIN,C,6,6,37,6.5,13.3,0.488,1.7,3.7,0.455,4.8,9.7,0.5,0.55,7.2,8.3,0.86,1.8,9,10.8,2.2,0.7,2,4.5,4.2,21.8,,townska01
18,Jalen Brunson,25,DAL,SG,18,18,34.9,8.1,17.3,0.466,1.4,4.2,0.347,6.6,13.1,0.504,0.508,4,5,0.8,0.8,3.8,4.6,3.7,0.8,0.1,1.1,2.1,21.6,,brunsja01
