Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,21,DAL,PG,7,7,40.1,13.7,28,0.49,4.4,10.9,0.408,9.3,17.1,0.542,0.569,3.9,7.3,0.529,0.6,7.3,7.9,10.3,1.3,0.4,4.6,2.4,35.7,,doncilu01
2,Kevin Durant,32,BRK,PF,12,12,40.4,12.1,23.5,0.514,2.8,6.8,0.402,9.3,16.7,0.56,0.573,7.3,8.4,0.871,0.4,8.8,9.3,4.4,1.5,1.6,3.5,2.6,34.3,,duranke01
3,Damian Lillard,30,POR,PG,6,6,41.3,10.3,22.3,0.463,5.8,13,0.449,4.5,9.3,0.482,0.593,7.8,8.3,0.94,0.2,4.2,4.3,10.2,1,0.7,2.2,1.5,34.3,,lillada01
4,Donovan Mitchell,24,UTA,PG,10,10,34.6,10.5,23.5,0.447,5,11.5,0.435,5.5,12,0.458,0.553,6.3,7.6,0.829,0.3,3.9,4.2,5.5,1.1,0.2,2.8,2,32.3,,mitchdo01
5,Jayson Tatum,22,BOS,SF,5,5,37,9.4,22.2,0.423,2.8,7.2,0.389,6.6,15,0.44,0.486,9,9.8,0.918,0.6,5.2,5.8,4.6,1.2,1.6,2.6,3,30.6,,tatumja01
6,Kawhi Leonard,29,LAC,SF,11,11,39.3,11.1,19.4,0.573,2.2,5.5,0.393,8.9,13.8,0.645,0.629,6,6.8,0.88,2,5.7,7.7,4.4,2.1,0.8,2.2,2.6,30.4,,leonaka01
7,Giannis Antetokounmpo,26,MIL,PF,21,21,38.1,11.9,20.9,0.569,0.6,3.3,0.186,11.3,17.6,0.642,0.584,5.8,9.8,0.587,2.8,10,12.8,5.1,1,1.2,3,2.9,30.2,Finals MVP-1,antetgi01
8,Ja Morant,21,MEM,PG,5,5,40.6,11,22.6,0.487,2,6.2,0.323,9,16.4,0.549,0.531,6.2,8,0.775,1.4,3.4,4.8,8.2,0.4,0,3.4,1.8,30.2,,moranja01
9,Bradley Beal,27,WAS,SG,5,5,39,11.2,24.6,0.455,1.4,6.4,0.219,9.8,18.2,0.538,0.484,6.2,7.2,0.861,1.2,5,6.2,4.2,0.8,0.6,4,1.2,30,,bealbr01
10,Nikola Jokić,25,DEN,C,10,10,34.5,11.6,22.8,0.509,2,5.3,0.377,9.6,17.5,0.549,0.553,4.6,5.5,0.836,3.7,7.9,11.6,5,0.6,0.9,2.4,2.3,29.8,,jokicni01
11,Trae Young,22,ATL,PG,16,16,37.7,9.4,22.4,0.418,2.8,9,0.313,6.6,13.4,0.488,0.481,7.3,8.4,0.866,0.4,2.4,2.8,9.5,1.3,0,4,2.2,28.8,,youngtr01
12,Joel Embiid,26,PHI,C,11,11,32.5,9.2,17.9,0.513,1.5,3.7,0.39,7.7,14.2,0.545,0.553,8.3,9.9,0.835,1.5,9.1,10.5,3.4,1,1.5,3.8,3,28.1,,embiijo01
13,Devin Booker,24,PHO,SG,22,22,40.4,9.6,21.5,0.447,2,6.2,0.321,7.6,15.3,0.499,0.494,6,6.7,0.905,0.7,5,5.6,4.5,0.8,0.2,3.7,3.5,27.3,,bookede01
14,Paul George,30,LAC,SF,19,19,40.8,8.7,19.7,0.441,2.7,8,0.336,6,11.7,0.514,0.509,6.8,8.1,0.844,0.9,8.7,9.6,5.4,1,0.5,3.5,3.1,26.9,,georgpa01
15,Dillon Brooks,25,MEM,SF,5,5,35,10,19.4,0.515,1.6,4,0.4,8.4,15.4,0.545,0.557,4.2,5.2,0.808,1,3.2,4.2,2.2,1.4,0.4,1.8,3.4,25.8,,brookdi01
16,Khris Middleton,29,MIL,SF,23,23,40.1,8.6,19.7,0.438,2.6,7.6,0.343,6,12,0.498,0.504,3.7,4.2,0.887,1.1,6.5,7.6,5.1,1.5,0.2,3.2,2.5,23.6,,middlkh01
17,LeBron James,36,LAL,PG,6,6,37.3,9,19,0.474,3,8,0.375,6,11,0.545,0.553,2.3,3.8,0.609,1.2,6,7.2,8,1.5,0.3,4.2,1.2,23.3,,jamesle01
18,Kyrie Irving,28,BRK,PG,9,9,36.1,8.6,18.1,0.472,2.7,7.2,0.369,5.9,10.9,0.541,0.546,2.9,3.1,0.929,1.3,4.4,5.8,3.4,1,0.6,1.2,2.1,22.7,,irvinky01
19,Tobias Harris,28,PHI,PF,12,12,36.5,8.8,17.9,0.488,1.3,3.6,0.372,7.4,14.3,0.517,0.526,2.9,3.3,0.875,0.8,7.7,8.5,3.5,1,0.4,1.5,2.4,21.8,,harrito02
20,CJ McCollum,29,POR,SG,6,6,40,8.3,19,0.439,2.3,7,0.333,6,12,0.5,0.5,1.7,2.2,0.769,1,5,6,4.3,0.3,0.7,2,4.2,20.7,,mccolcj01
21,James Harden,31,BRK,PG,9,9,35.8,5.7,12,0.472,2.7,7.3,0.364,3,4.7,0.643,0.583,6.2,6.9,0.903,0.8,5.6,6.3,8.6,1.7,0.7,2.9,2.6,20.2,,hardeja01
22,Derrick Rose,32,NYK,PG,5,3,35,8,16.8,0.476,1.6,3.4,0.471,6.4,13.4,0.478,0.524,1.8,1.8,1,0.8,3.2,4,5,0.4,0.2,1.6,1,19.4,,rosede01
23,Chris Paul,35,PHO,PG,20,20,34.2,7.5,15,0.497,1.5,3.3,0.446,6,11.8,0.511,0.545,2.9,3.3,0.877,0.5,3.1,3.5,8.6,1.2,0.2,2.2,2.4,19.2,,paulch01
24,Russell Westbrook,32,WAS,PG,5,5,37.2,5.6,16.8,0.333,1,4,0.25,4.6,12.8,0.359,0.363,6.8,8.6,0.791,2.8,7.6,10.4,11.8,0.4,0.2,4.2,3.4,19,,westbru01
25,Seth Curry,30,PHI,SG,12,12,31.8,7.1,12.3,0.578,3.4,6.8,0.506,3.7,5.5,0.667,0.718,1.3,1.6,0.789,0.3,2,2.3,2.3,0.8,0.3,0.8,2.8,18.8,,curryse01
26,Bojan Bogdanović,31,UTA,SF,11,11,35.5,5.8,12.5,0.467,3.2,6.9,0.461,2.6,5.5,0.475,0.595,3.3,3.7,0.878,0.5,3.7,4.3,1.5,0.9,0,2.1,2.5,18.1,,bogdabo02
27,Julius Randle,26,NYK,PF,5,5,36,5.6,18.8,0.298,2.2,6.6,0.333,3.4,12.2,0.279,0.356,4.6,5.4,0.852,2.2,9.4,11.6,4,0.6,0,4.6,3.6,18,,randlju01
28,Reggie Jackson,30,LAC,SG,19,17,32.7,6.4,13.3,0.484,3.1,7.5,0.408,3.4,5.8,0.582,0.599,1.9,2.2,0.878,0.4,2.8,3.2,3.4,0.9,0.2,1.5,2.6,17.8,,jacksre01
29,Marcus Smart,26,BOS,PG,5,5,36.6,5.8,13.2,0.439,3.2,8.6,0.372,2.6,4.6,0.565,0.561,3,4.2,0.714,0.8,3.6,4.4,6,1,0.2,2.8,2.8,17.8,,smartma01
30,Jordan Clarkson,28,UTA,SG,11,0,27.1,6.1,15,0.406,3.1,8.8,0.351,3,6.2,0.485,0.509,2.3,2.4,0.962,0.5,2.5,3.1,1.5,0.6,0.3,2.1,1.4,17.5,,clarkjo01
31,Anthony Davis,27,LAL,PF,5,5,28.8,5,12.4,0.403,0.4,2.2,0.182,4.6,10.2,0.451,0.419,7,8.4,0.833,1.4,5.2,6.6,2.6,0.6,1.6,1.2,1.8,17.4,,davisan02
32,Michael Porter Jr.,22,DEN,SF,10,10,33.2,6.4,13.5,0.474,2.9,7.3,0.397,3.5,6.2,0.565,0.581,1.7,2.1,0.81,1.2,5,6.2,1.3,1.1,0.3,1.6,3.1,17.4,,portemi01
33,Jrue Holiday,30,MIL,PG,23,23,39.7,6.9,16.9,0.406,1.9,6.2,0.303,5,10.7,0.466,0.461,1.7,2.4,0.714,1.4,4.3,5.7,8.7,1.7,0.4,2.4,2.1,17.3,,holidjr01
34,Tim Hardaway Jr.,28,DAL,SG,7,7,37.4,6,14.4,0.416,3.3,8.1,0.404,2.7,6.3,0.432,0.53,1.7,2.3,0.75,0.7,2.6,3.3,1.4,0.4,0,0.9,2.4,17,,hardati02
35,Norman Powell,27,POR,SF,6,6,36,6.3,12.7,0.5,1.7,4.3,0.385,4.7,8.3,0.56,0.566,2.7,3,0.889,0.5,1.7,2.2,2,0.8,1,1.2,2.8,17,,powelno01
36,Will Barton,30,DEN,SF,3,1,27.7,6.3,14.3,0.442,2.3,7,0.333,4,7.3,0.545,0.523,1.3,1.3,1,0.3,4,4.3,2.7,0.7,0.3,1.3,1.3,16.3,,bartowi01
37,Goran Dragić,34,MIA,PG,4,2,29.3,5.8,13.5,0.426,2.3,6.5,0.346,3.5,7,0.5,0.509,2.3,3,0.75,0.3,1.5,1.8,2.8,1,0.5,1.5,2.8,16,,dragigo01
38,Deandre Ayton,22,PHO,C,22,22,36.4,7,10.6,0.658,0,0,,7,10.6,0.658,0.658,1.8,2.4,0.736,3,8.8,11.8,1.1,0.8,1.1,1.3,2.9,15.8,,aytonde01
39,Bam Adebayo,23,MIA,C,4,4,34,6.5,14.3,0.456,0,0,,6.5,14.3,0.456,0.456,2.5,3.3,0.769,3.5,5.8,9.3,4.3,1.3,0.5,2.8,2.8,15.5,,adebaba01
40,Evan Fournier,28,BOS,SF,5,5,33.4,5.4,12.6,0.429,2.6,6,0.433,2.8,6.6,0.424,0.532,2,2.4,0.833,1,2.6,3.6,1.4,1.2,0,1,4,15.4,,fournev01
41,Mike Conley,33,UTA,PG,6,6,29.3,4.8,11.3,0.426,3,6.2,0.486,1.8,5.2,0.355,0.559,2.7,2.7,1,0.5,3,3.5,7.7,0.2,0.5,2.3,2.5,15.3,,conlemi01
42,Jonas Valančiūnas,28,MEM,C,5,5,33.2,6.6,11.6,0.569,0.4,1.6,0.25,6.2,10,0.62,0.586,1.4,1.6,0.875,4,5.8,9.8,2.6,0.6,0.6,2,3.6,15,,valanjo01
43,Rui Hachimura,22,WAS,PF,5,5,34.6,5.8,9.4,0.617,1.8,3,0.6,4,6.4,0.625,0.713,1.4,2.4,0.583,1,6.2,7.2,1,0.4,0.2,1,3.6,14.8,,hachiru01
44,Rudy Gobert,28,UTA,C,11,11,34.2,5.5,7.4,0.741,0,0.1,0,5.5,7.3,0.75,0.741,3.8,6,0.636,3.9,8.4,12.3,0.8,0.5,2.1,1.5,4.2,14.7,,goberru01
45,Jimmy Butler,31,MIA,SF,4,4,38.5,4.8,16,0.297,1,3.8,0.267,3.8,12.3,0.306,0.328,4,5.5,0.727,1.5,6,7.5,7,1.3,0.3,2.3,1.5,14.5,,butleji01
46,RJ Barrett,20,NYK,SG,5,5,32.4,5.2,13.4,0.388,1.6,5.6,0.286,3.6,7.8,0.462,0.448,2.4,3,0.8,0.8,6.4,7.2,3,0.8,0.4,0.4,2.2,14.4,,barrerj01
