Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
134,Enes Freedom,27,BOS,C,11,0,9.3,2,3.8,0.524,0.1,0.1,1,1.9,3.7,0.512,0.536,0.5,0.9,0.5,1.7,2.2,3.9,0.6,0,0,0.4,1.7,4.5,,kanteen01
135,Patrick Patterson,30,LAC,PF,2,0,5,1.5,1.5,1,1.5,1.5,1,0,0,,1.5,0,0,,0,0.5,0.5,2,0,0,0,0.5,4.5,,pattepa01
136,Hamidou Diallo,21,OKC,SF,3,0,8.3,1.3,3.7,0.364,0.3,1.7,0.2,1,2,0.5,0.409,1.3,2.3,0.571,0.7,1.3,2,0.3,0,0.7,0.7,0,4.3,,diallha01
137,Stanley Johnson,23,TOR,PF,3,0,6.7,1.7,3.7,0.455,0.7,1.7,0.4,1,2,0.5,0.545,0.3,0.3,1,0.3,1,1.3,2,0,0,0.3,1,4.3,,johnsst04
138,Emmanuel Mudiay,23,UTA,PG,3,0,11.3,1.7,4.7,0.357,0.7,1,0.667,1,3.7,0.273,0.429,0.3,0.7,0.5,0.3,1.7,2,0.7,0,0.3,0.3,0,4.3,,mudiaem01
139,Wes Iwundu,25,ORL,SF,5,0,15.2,1.2,4,0.3,0.8,1.4,0.571,0.4,2.6,0.154,0.4,1,1.6,0.625,0.2,2,2.2,0.8,0.6,0.4,0.6,1,4.2,,iwundwe01
140,Pat Connaughton,27,MIL,SG,10,0,17.1,1.5,3.5,0.429,0.8,2.3,0.348,0.7,1.2,0.583,0.543,0.2,0.2,1,0.5,3.4,3.9,1.1,0.2,0.2,0.5,1.2,4,,connapa01
141,Jeremiah Martin,23,BRK,PG,3,0,9,1.3,4.7,0.286,1,1.7,0.6,0.3,3,0.111,0.393,0.3,0.3,1,0,1,1,1.3,0,0.3,0.7,0.7,4,,martije02
142,Ben McLemore,26,HOU,SF,11,0,11.8,1.4,3.6,0.375,1.3,3.3,0.389,0.1,0.4,0.25,0.55,0,0,,0.2,0.8,1,0.5,0.4,0,0.3,0.7,4,,mclembe01
143,Raul Neto,27,PHI,PG,2,0,13,1.5,4.5,0.333,1,2.5,0.4,0.5,2,0.25,0.444,0,0,,0,1.5,1.5,1.5,0.5,0,0.5,0,4,,netora01
