Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Joel Embiid,29,PHI,C,6,6,41.3,9.8,22.2,0.444,2.2,6.5,0.333,7.7,15.7,0.489,0.492,11.2,13,0.859,3.2,7.7,10.8,5.7,1.2,1.5,4.2,3.3,33,,embiijo01
2,Jalen Brunson,27,NYK,PG,13,13,39.8,11.6,26.2,0.444,2,6.5,0.31,9.6,19.7,0.488,0.482,7.2,9.2,0.775,0.6,2.7,3.3,7.5,0.8,0.2,2.7,2,32.4,,brunsja01
3,Damian Lillard,33,MIL,PG,4,4,39,8.5,20.3,0.42,5,12,0.417,3.5,8.3,0.424,0.543,9.3,9.5,0.974,0.5,2.8,3.3,5,1,0,2.3,2,31.3,,lillada01
4,Shai Gilgeous-Alexander,25,OKC,PG,10,10,39.9,11.1,22.4,0.496,1.6,3.7,0.432,9.5,18.7,0.508,0.531,6.4,8.1,0.79,0.8,6.4,7.2,6.4,1.3,1.7,2.2,3.1,30.2,,gilgesh01
5,Tyrese Maxey,23,PHI,PG,6,6,44.5,11,23,0.478,3.7,9.2,0.4,7.3,13.8,0.53,0.558,4.2,4.7,0.893,0.2,5,5.2,6.8,0.8,0.3,2.2,2.7,29.8,,maxeyty01
6,Donovan Mitchell,27,CLE,SG,10,10,38.2,10.7,22.5,0.476,2.9,8.2,0.354,7.8,14.3,0.545,0.54,5.3,6.5,0.815,0.6,4.8,5.4,4.7,1.3,0.3,2.8,2.9,29.6,,mitchdo01
7,Luka Dončić,24,DAL,PG,22,22,40.9,10.2,22.9,0.446,3.1,9.6,0.322,7.1,13.3,0.536,0.514,5.3,7,0.765,0.7,8.7,9.5,8.1,1.9,0.4,4.1,2.5,28.9,,doncilu01
8,Nikola Jokić,28,DEN,C,12,12,40.2,11.1,20.3,0.545,1.2,4.4,0.264,9.9,15.9,0.623,0.574,5.3,5.9,0.901,3.6,9.8,13.4,8.7,1.4,0.7,3.3,2.7,28.7,,jokicni01
9,Anthony Davis,30,LAL,C,5,5,41.6,11.8,18.6,0.634,0,1,0,11.8,17.6,0.67,0.634,4.2,5.2,0.808,3,12.6,15.6,4,0.4,1.6,2.2,3.8,27.8,,davisan02
10,LeBron James,39,LAL,PF,5,5,40.8,11.2,19.8,0.566,2,5.2,0.385,9.2,14.6,0.63,0.616,3.4,4.6,0.739,0.8,6,6.8,8.8,2.4,1,3.8,2.2,27.8,,jamesle01
11,Anthony Edwards,22,MIN,SG,16,16,40.6,9.8,20.3,0.481,2.9,7.2,0.4,6.9,13.1,0.526,0.552,5.2,6.4,0.814,1.1,5.9,7,6.5,1.5,0.6,3.3,2.3,27.6,,edwaran01
12,Devin Booker,27,PHO,PG,4,4,41.5,8,16.3,0.492,1.8,5,0.35,6.3,11.3,0.556,0.546,9.8,10.3,0.951,0.3,3,3.3,6,1.8,0.3,2.8,4.5,27.5,,bookede01
13,Paolo Banchero,21,ORL,PF,7,7,37.4,9.7,21.3,0.456,2.3,5.7,0.4,7.4,15.6,0.477,0.51,5.3,7,0.755,2,6.6,8.6,4,1.1,0.6,4.6,2,27,,banchpa01
14,Kevin Durant,35,PHO,PF,4,4,42,9.3,16.8,0.552,1.3,3,0.417,8,13.8,0.582,0.59,7,8.5,0.824,0.3,6.3,6.5,3.3,0.5,1.5,2.5,2,26.8,,duranke01
15,Jayson Tatum,25,BOS,PF,19,19,40.4,8.4,19.6,0.427,2.1,7.3,0.283,6.3,12.3,0.513,0.48,6.2,7.2,0.861,0.9,8.8,9.7,6.3,1.1,0.7,2.6,2.8,25,,tatumja01
16,Khris Middleton,32,MIL,SF,6,6,38.3,9.2,19,0.482,1.8,5.2,0.355,7.3,13.8,0.53,0.531,4.5,5,0.9,2,7.2,9.2,4.7,0.5,0.2,2.3,4.2,24.7,,middlkh01
