Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Kawhi Leonard,31,LAC,SF,2,2,40,12,22,0.545,3,5,0.6,9,17,0.529,0.614,7.5,8.5,0.882,1.5,5,6.5,6,2,0.5,3,2.5,34.5,,leonaka01
2,Devin Booker,26,PHO,SG,11,11,41.7,12.8,21.9,0.585,2.8,5.5,0.508,10,16.4,0.611,0.649,5.3,6.1,0.866,1.1,3.7,4.8,7.2,1.7,0.8,2.9,3.4,33.7,,bookede01
3,Anthony Edwards,21,MIN,SG,5,5,39.8,11,22.8,0.482,3,8.6,0.349,8,14.2,0.563,0.548,6.6,7.8,0.846,0.6,4.4,5,5.2,1.8,2,1.6,2.6,31.6,,edwaran01
4,Stephen Curry,34,GSW,PG,13,13,37.9,11.2,23.9,0.466,4.4,12.1,0.363,6.8,11.8,0.571,0.558,3.8,4.5,0.845,0.7,4.5,5.2,6.1,1,0.5,3.2,2.6,30.5,,curryst01
5,Nikola Jokić,27,DEN,C,20,20,39.5,11.4,20.7,0.548,1.8,3.8,0.461,9.6,16.9,0.568,0.591,5.6,7,0.799,3.5,10,13.5,9.5,1.1,1,3.5,3.5,30,Finals MVP-1,jokicni01
6,Trae Young,24,ATL,PG,6,6,38.3,10,24.8,0.403,3,9,0.333,7,15.8,0.442,0.463,6.2,7.2,0.86,0.8,2.8,3.7,10.2,1.7,0.7,4,1.8,29.2,,youngtr01
7,Kevin Durant,34,PHO,PF,11,11,42.4,9.7,20.4,0.478,1.5,4.6,0.333,8.2,15.7,0.52,0.516,8,8.7,0.917,0.6,8.1,8.7,5.5,0.8,1.4,3.5,2.6,29,,duranke01
8,Jalen Brunson,26,NYK,PG,11,11,40.3,9.9,20.9,0.474,2.4,7.3,0.325,7.5,13.6,0.553,0.53,5.6,6.2,0.912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,2.4,27.8,,brunsja01
9,De'Aaron Fox,25,SAC,PG,7,7,38.6,10,23.6,0.424,3,9,0.333,7,14.6,0.48,0.488,4.4,5.9,0.756,1.7,3.7,5.4,7.7,2.1,0.6,4,3.3,27.4,,foxde01
10,Jayson Tatum,24,BOS,SF,20,20,40,9.3,20.2,0.458,2.7,8.2,0.323,6.6,12,0.55,0.524,6,6.9,0.876,1.3,9.2,10.5,5.3,1.1,1.1,2.8,2.2,27.2,,tatumja01
11,Jimmy Butler,33,MIA,PF,22,22,39.7,9.4,20.1,0.468,1.3,3.5,0.359,8.1,16.5,0.492,0.5,6.8,8.5,0.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7,26.9,,butleji01
12,Jamal Murray,25,DEN,PG,20,20,40,9.7,20.5,0.473,3,7.5,0.396,6.8,13.1,0.517,0.545,3.8,4.1,0.926,0.8,4.9,5.7,7.1,1.5,0.3,2.5,2.1,26.1,,murraja01
13,Ja Morant,23,MEM,PG,5,5,37.4,9,21.2,0.425,2.6,6.2,0.419,6.4,15,0.427,0.486,4,5.2,0.769,1.6,5.2,6.8,7,1.8,0.2,3.4,2.4,24.6,,moranja01
14,LeBron James,38,LAL,PF,16,16,38.7,9.2,18.4,0.498,1.8,6.6,0.264,7.4,11.8,0.63,0.546,4.4,5.8,0.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5,,jamesle01
15,Khris Middleton,31,MIL,SF,5,5,34.6,8,17.2,0.465,2.6,6.4,0.406,5.4,10.8,0.5,0.541,5.2,6,0.867,1.4,5,6.4,6.2,0.6,0,3.4,3,23.8,,middlkh01
16,Joel Embiid,28,PHI,C,9,9,37.3,7.3,17,0.431,0.6,3.1,0.179,6.8,13.9,0.488,0.448,8.4,9.3,0.905,1.8,8,9.8,2.7,0.7,2.8,3.9,3,23.7,,embiijo01
17,Russell Westbrook,34,LAC,PG,5,5,38.4,8.6,21,0.41,2,5.6,0.357,6.6,15.4,0.429,0.457,4.4,5,0.88,1.8,5.8,7.6,7.4,1.2,1.4,4,3,23.6,,westbru01
18,Desmond Bane,24,MEM,SG,6,6,38.5,8.2,19.3,0.422,2.7,8.3,0.32,5.5,11,0.5,0.491,4.5,4.8,0.931,1.2,4.8,6,3.2,0.5,0,2.8,3.2,23.5,,banede01
19,Mikal Bridges,26,BRK,SG,4,4,39.3,8.3,19.3,0.429,2.5,6.3,0.4,5.8,13,0.442,0.494,4.5,5.8,0.783,0.5,4.8,5.3,4,0.5,0.5,2,1.3,23.5,,bridgmi01
20,Giannis Antetokounmpo,28,MIL,PF,3,3,30.3,9.3,17.7,0.528,0,1,0,9.3,16.7,0.56,0.528,4.7,10.3,0.452,2.7,8.3,11,5.3,0.3,0.7,4.7,3,23.3,,antetgi01
21,Donovan Mitchell,26,CLE,SG,5,5,41.4,9,20.8,0.433,2.6,9,0.289,6.4,11.8,0.542,0.495,2.6,3.6,0.722,0.6,4.4,5,7.2,2,0.6,3.8,2.8,23.2,,mitchdo01
22,Dejounte Murray,26,ATL,SG,5,5,38,9.2,20.6,0.447,2.8,7.4,0.378,6.4,13.2,0.485,0.515,1.8,1.8,1,1.8,5.4,7.2,6.8,2,0.2,2,1.4,23,,murrade01
23,Jaylen Brown,26,BOS,SF,20,20,37.6,9.1,18.3,0.496,2,5.7,0.354,7.1,12.6,0.56,0.551,2.6,3.7,0.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,3.1,22.7,,brownja02
24,Anthony Davis,29,LAL,C,16,16,38,8.3,15.9,0.52,0.3,0.9,0.333,7.9,14.9,0.531,0.53,5.8,6.8,0.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6,,davisan02
25,Norman Powell,29,LAC,SG,5,3,33.4,7.2,15.2,0.474,2.6,6.4,0.406,4.6,8.8,0.523,0.559,4.8,6.2,0.774,0.8,2.2,3,2.2,0.8,0.4,1.6,3.2,21.8,,powelno01
26,Darius Garland,23,CLE,PG,5,5,37.8,7,16,0.438,2.4,6.2,0.387,4.6,9.8,0.469,0.513,4.2,5,0.84,0,1.8,1.8,5,1.6,0.2,3.6,3.4,20.6,,garlada01
27,Tyrese Maxey,22,PHI,SG,11,11,38.5,7.5,17.5,0.427,3.1,7.7,0.4,4.4,9.7,0.449,0.516,2.5,2.8,0.903,0.8,4,4.8,2.3,1.4,0.5,0.7,2.4,20.5,,maxeyty01
28,James Harden,33,PHI,PG,11,11,38.8,6.5,16.6,0.393,2.8,7.5,0.378,3.7,9.2,0.406,0.478,4.4,5,0.873,0.5,5.6,6.2,8.3,1.8,0.4,3.2,2.5,20.3,,hardeja01
29,RJ Barrett,22,NYK,SG,11,11,34.3,6.5,14.9,0.433,1.8,5.5,0.328,4.6,9.4,0.495,0.494,4.5,5.9,0.769,0.5,4,4.5,2.8,0.8,0.2,2.3,2.3,19.3,,barrerj01
30,Brook Lopez,34,MIL,C,5,5,36.4,7.8,13.4,0.582,1.4,3.4,0.412,6.4,10,0.64,0.634,2,2.6,0.769,2.8,3.6,6.4,1.2,1.4,1.8,2.2,2,19,,lopezbr01
31,Malik Monk,24,SAC,SG,7,0,29.3,5.4,13.3,0.409,1.9,5.6,0.333,3.6,7.7,0.463,0.478,6.3,7,0.898,0.9,4.6,5.4,3.6,0.7,0.4,2,2.1,19,,monkma01
32,Cameron Johnson,26,BRK,PF,4,4,38,7,13.8,0.509,3,7,0.429,4,6.8,0.593,0.618,1.5,1.8,0.857,0.8,5,5.8,2.8,0.8,0.3,1.3,2.5,18.5,,johnsca02
33,Klay Thompson,32,GSW,SF,13,13,36,6.5,16.8,0.388,3.8,10.5,0.368,2.7,6.4,0.422,0.502,1.6,1.8,0.875,0.1,4.1,4.2,2.2,0.5,0.3,2,2.2,18.5,,thompkl01
34,Karl-Anthony Towns,27,MIN,PF,5,5,36,6.4,14,0.457,1.2,4.8,0.25,5.2,9.2,0.565,0.5,4.2,5.6,0.75,1.2,9,10.2,2,0.6,0.8,3.6,4.2,18.2,,townska01
35,Jaren Jackson Jr.,23,MEM,C,6,6,36.7,5.8,13.8,0.422,1.2,4.2,0.28,4.7,9.7,0.483,0.464,5.2,6,0.861,3.3,4.5,7.8,1.5,1,2,3,4,18,,jacksja02
36,Bam Adebayo,25,MIA,C,23,23,37,7.3,15.1,0.481,0,0.1,0,7.3,15,0.485,0.481,3.4,4.1,0.821,2.7,7.1,9.9,3.7,0.9,0.7,2.7,3.1,17.9,,adebaba01
37,Jrue Holiday,32,MIL,PG,5,5,38.2,6.8,17,0.4,2.4,8.4,0.286,4.4,8.6,0.512,0.471,1.8,2.6,0.692,0.8,5.8,6.6,8,1,0.4,2.4,2.4,17.8,,holidjr01
38,Austin Reaves,24,LAL,SG,16,16,36.2,5.6,12.1,0.464,2.4,5.5,0.443,3.2,6.6,0.481,0.564,3.2,3.6,0.895,1.3,3.2,4.4,4.6,0.6,0.2,1.6,2.4,16.9,,reaveau01
39,De'Andre Hunter,25,ATL,SF,6,6,37.3,6.5,14.2,0.459,2.3,6.3,0.368,4.2,7.8,0.532,0.541,1.3,1.7,0.8,1.2,4.5,5.7,1.2,0.7,0.3,1.5,3.3,16.7,,huntede01
40,Andrew Wiggins,27,GSW,SF,13,12,34,6.4,13.9,0.459,1.5,4.9,0.297,4.9,9,0.547,0.511,2.5,3.6,0.681,1.8,3.8,5.6,1.9,0.8,1.2,1.3,3.5,16.7,,wiggian01
41,Julius Randle,28,NYK,PF,10,10,33,5.5,14.7,0.374,1.7,6.6,0.258,3.8,8.1,0.469,0.432,3.9,5.5,0.709,1.7,6.6,8.3,3.6,0.5,0.3,3.5,2.4,16.6,,randlju01
42,Spencer Dinwiddie,29,BRK,PG,4,4,39.8,5.5,12.8,0.431,1.8,4.5,0.389,3.8,8.3,0.455,0.5,3.8,5.5,0.682,0.3,3,3.3,6.5,1.3,0.3,3,1.8,16.5,,dinwisp01
43,Domantas Sabonis,26,SAC,C,7,7,34.7,7,14.1,0.495,0.1,0.7,0.2,6.9,13.4,0.511,0.5,2.3,4,0.571,4.4,6.6,11,4.7,1.4,0.9,3.7,4,16.4,,sabondo01
44,Tobias Harris,30,PHI,SF,11,11,35.6,6.4,12.2,0.522,1.4,3.7,0.366,5,8.5,0.591,0.578,1.2,1.4,0.867,1.5,5.7,7.3,1.6,0.6,0.5,0.7,2.5,15.3,,harrito02
45,Rudy Gobert,30,MIN,C,5,5,35.4,5.8,9.2,0.63,0,0,,5.8,9.2,0.63,0.63,3.4,5.4,0.63,3.6,8.6,12.2,2,0.4,1,1.6,4.8,15,,goberru01
46,Caris LeVert,28,CLE,SG,5,3,34,5.4,12.6,0.429,2.6,7.2,0.361,2.8,5.4,0.519,0.532,1.6,2.6,0.615,0.8,3.8,4.6,2.6,0.4,0.2,1,2,15,,leverca01
47,Marcus Smart,28,BOS,PG,20,20,34,5.1,11.2,0.453,2.2,6.1,0.361,2.9,5.1,0.564,0.552,2.6,3.3,0.8,1.1,3,4,5.1,1.3,0.3,2.3,1.9,14.9,,smartma01
48,Deandre Ayton,24,PHO,C,10,10,31.9,6.1,11.1,0.55,0,0,,6.1,11.1,0.55,0.55,1.2,2.3,0.522,2.9,6.8,9.7,1,0.6,0.7,1.7,3.5,13.4,,aytonde01
49,Michael Porter Jr.,24,DEN,SF,20,20,32.7,5,11.7,0.423,2.3,6.6,0.351,2.7,5.2,0.515,0.521,1.2,1.5,0.793,1,7.1,8.1,1.6,0.5,0.6,0.5,2.1,13.4,,portemi01
50,Derrick White,28,BOS,SG,20,16,29.7,4.7,9.2,0.505,2.5,5.5,0.455,2.2,3.7,0.581,0.641,1.6,1.7,0.912,0.7,2.3,3,2.1,0.6,1,0.9,1.9,13.4,,whitede01
51,Bogdan Bogdanović,30,ATL,SG,6,1,26.2,5,9,0.556,2.5,5.5,0.455,2.5,3.5,0.714,0.694,0.8,1.2,0.714,0.3,2.7,3,2.5,1,0.8,0.5,2.7,13.3,,bogdabo01
52,Aaron Gordon,27,DEN,PF,20,20,35.7,5.1,9.8,0.518,0.9,2.3,0.391,4.2,7.5,0.557,0.564,2.3,3.5,0.652,2.5,3.6,6,2.6,0.6,0.7,1,2.9,13.3,,gordoaa01
53,D'Angelo Russell,26,LAL,PG,16,15,29.6,5.2,12.2,0.426,1.7,5.4,0.31,3.5,6.8,0.519,0.495,1.3,1.6,0.769,0.6,2.3,2.9,4.6,0.7,0.3,1.8,2,13.3,,russeda01
54,Caleb Martin,27,MIA,SF,23,4,30.2,4.7,9,0.529,1.9,4.5,0.423,2.8,4.4,0.637,0.636,1.3,1.5,0.829,1.2,4.3,5.4,1.6,0.9,0.4,1,2.4,12.7,,martica02
55,Gabe Vincent,26,MIA,PG,22,22,30.5,4.5,11.2,0.402,2.3,6.1,0.378,2.2,5,0.432,0.506,1.4,1.5,0.882,0.4,1,1.4,3.5,0.9,0.2,1.4,3,12.7,,vincega01
56,Chris Paul,37,PHO,PG,7,7,35.7,5.4,13,0.418,1.3,4,0.321,4.1,9,0.46,0.467,0.3,0.6,0.5,0.7,4.3,5,7.4,1.7,0.7,1,2.3,12.4,,paulch01
57,Rui Hachimura,24,LAL,PF,16,1,24.3,4.6,8.2,0.557,1.2,2.4,0.487,3.4,5.8,0.587,0.63,1.9,2.1,0.882,0.6,3.1,3.6,0.6,0.5,0.3,0.6,1.6,12.2,,hachiru01
58,Bruce Brown,26,DEN,SF,20,0,26.5,4.5,8.8,0.511,0.9,2.9,0.316,3.6,6,0.605,0.563,2.1,2.5,0.857,0.8,3.3,4,1.9,1.1,0.5,1.2,2.5,12,,brownbr01
59,Mike Conley,35,MIN,PG,5,5,36.6,4,8.4,0.476,2,4.4,0.455,2,4,0.5,0.595,2,2.2,0.909,0.4,2.2,2.6,6.4,0.6,0,1.4,2.2,12,,conlemi01
60,Pat Connaughton,30,MIL,SF,4,0,22,4.3,7.5,0.567,2.8,5.8,0.478,1.5,1.8,0.857,0.75,0.8,1,0.75,1,4,5,1.8,1,0.3,0.5,2.5,12,,connapa01
61,Tyler Herro,23,MIA,SG,1,1,19,5,9,0.556,2,4,0.5,3,5,0.6,0.667,0,0,,0,2,2,2,0,1,1,1,12,,herroty01
