Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
77,Giannis Antetokounmpo,30,MIL,PF,5,5,188,33.2,0.651,0.051,0.636,11,38,23.6,35.6,1.3,2.6,15.4,35.3,0.8,0.1,0.9,0.231,8.2,3.2,11.4,0.6,,antetgi01
78,Jonathan Kuminga,22,GSW,PF,8,1,187,16.4,0.572,0.269,0.333,4.1,8.3,6.1,10.2,1.1,2,10.9,28.2,0.1,0.1,0.2,0.06,1.2,-0.4,0.8,0.1,,kuminjo01
79,De'Andre Hunter,27,CLE,SF,8,0,185,13.6,0.591,0.413,0.413,3.6,14.7,8.9,6.1,1.1,0.5,8.6,18.8,0.3,0.2,0.5,0.127,-0.6,-0.4,-1,0,,huntede01
80,Rui Hachimura,26,LAL,PF,5,5,182,12.2,0.634,0.544,0.053,2.6,11.8,7.3,4.8,0.9,1.6,10.7,16.8,0.2,0.1,0.2,0.06,0.7,-0.3,0.4,0.1,,hachiru01
81,Luke Kornet,29,BOS,C,11,1,180,17.5,0.769,0,0.276,10.3,16.3,13.4,4.3,1.7,6.6,13.3,9.5,0.5,0.4,0.8,0.221,0.3,3.3,3.6,0.3,,kornelu01
82,Gary Payton II,32,GSW,SG,11,1,180,11.1,0.543,0.489,0,6,9.3,7.6,13.7,2.8,0,11.3,13,0.2,0.2,0.3,0.091,-1.4,1.7,0.3,0.1,,paytoga02
83,Nicolas Batum,36,LAC,PF,7,0,172,12.9,0.591,1,0,2.7,16,9.2,10.6,1.8,6,8.3,9.7,0.2,0.2,0.4,0.111,0.5,4.4,4.9,0.3,,batumni01
84,Gary Trent Jr.,26,MIL,SG,5,3,171,19.7,0.708,0.71,0.161,0.6,7.2,3.7,5.6,3.8,0,4.3,18,0.5,0.1,0.6,0.164,3.5,2.9,6.4,0.4,,trentga02
85,Dorian Finney-Smith,31,LAL,PF,5,1,170,6.9,0.534,0.655,0,7,7.3,7.2,11.8,0.3,1.1,14.7,9.3,0.1,0,0.1,0.034,-2,-0.2,-2.3,0,,finnedo01
86,Dennis Schröder,31,DET,PG,6,0,164,16.6,0.625,0.396,0.302,2.9,6.7,4.9,21.8,2.1,0.5,10.4,17.6,0.4,0.2,0.6,0.166,2.4,2.2,4.6,0.3,,schrode01
87,Malik Beasley,28,DET,SG,6,0,163,10.8,0.535,0.787,0.107,0.7,9.5,5.3,7.1,0.9,0.5,8.2,22.6,0.1,0.1,0.2,0.052,0.2,-0.8,-0.6,0.1,,beaslma01
88,Kentavious Caldwell-Pope,31,ORL,SG,5,5,163,5.7,0.394,0.767,0.133,0.7,11.1,5.4,8,2.3,1.9,5.9,9.5,-0.1,0.1,0,0.002,-5.4,2.4,-3,0,,caldwke01
89,Wendell Carter Jr.,25,ORL,C,5,5,162,14.3,0.574,0.275,0.25,12.6,27.9,19.5,6.1,0.7,1.3,15.3,14.8,0.1,0.1,0.2,0.073,-1,-0.1,-1.1,0,,cartewe01
90,Sam Merrill,28,CLE,SG,8,3,159,10.6,0.557,0.975,0.075,4.8,9.7,7.2,11.6,1.2,1.3,4.6,11.7,0.3,0.1,0.4,0.131,-0.4,0.9,0.5,0.1,,merrisa01
91,Bobby Portis,29,MIL,PF,5,1,158,12.7,0.511,0.412,0.015,5.5,25.7,15,7.1,0.6,1.2,8.1,20.9,0,0,0,0.002,-0.8,-1.9,-2.7,0,,portibo01
92,Thomas Bryant,27,IND,C,17,0,157,9.9,0.68,0.5,0.4,5.6,13.3,9.7,2.5,1.2,3.5,16.6,12,0.2,0.1,0.3,0.091,-2.9,0.3,-2.6,0,,bryanth01
93,Steven Adams,31,HOU,C,7,0,155,16.2,0.602,0,1.5,16.7,16.2,16.5,3.8,1,5.7,13.1,10.9,0.3,0.2,0.5,0.146,0.5,0.3,0.8,0.1,,adamsst01
94,Kris Dunn,30,LAC,PG,7,6,153,12.3,0.5,0.636,0,7.6,10.9,9.2,8,2.7,2.3,2.2,13.6,0.2,0.1,0.3,0.096,-1.6,2.7,1.1,0.1,,dunnkr01
95,Bam Adebayo,27,MIA,C,4,4,153,15.9,0.508,0.328,0.172,11.7,23.4,17.1,19.4,1.4,0.8,14.8,24.5,0,-0.2,-0.2,-0.066,0.7,-1.5,-0.9,0,,adebaba01
96,Kevin Porter Jr.,24,MIL,SG,5,1,151,12,0.521,0.313,0.271,2.2,12.2,6.9,26,1.3,0,14.3,18.4,0.1,0,0.1,0.04,-1.2,-1,-2.2,0,,porteke02
97,Darius Garland,25,CLE,PG,5,5,148,14.3,0.566,0.507,0.348,0.7,8,4.2,26.8,0.7,0,15.9,27.3,0.2,0.1,0.3,0.087,0.6,-2.4,-1.9,0,,garlada01
98,Quinten Post,24,GSW,PF,12,2,146,7.7,0.452,0.667,0.083,4.4,18,10.9,12.5,1,1.9,10.8,16.8,-0.1,0.1,0.1,0.024,-3.4,-0.2,-3.6,-0.1,,postqu01
99,Tyler Herro,25,MIA,SG,4,4,144,9.7,0.512,0.446,0.154,0,12.4,5.8,13.5,0.7,0,11.5,25.3,-0.1,-0.3,-0.4,-0.135,-2.9,-3.7,-6.6,-0.2,,herroty01
100,Jabari Smith Jr.,21,HOU,PF,7,0,143,12.5,0.677,0.647,0.294,5.5,15.3,10.5,4.3,0.4,3.9,20.7,15,0.1,0.1,0.3,0.085,0.1,0.8,1,0.1,,smithja05
101,Dean Wade,28,CLE,PF,9,1,142,6.8,0.417,0.778,0,7.7,23.3,15.2,5.2,1,0.7,14.3,6.3,0,0.2,0.2,0.067,-3,0.8,-2.2,0,,wadede01
102,Davion Mitchell,26,MIA,PG,4,3,142,16.6,0.681,0.341,0.171,1.6,6.3,3.8,30.4,1.1,0.8,15.4,17,0.4,-0.3,0.1,0.026,1.6,0,1.5,0.1,,mitchda01
103,Desmond Bane,26,MEM,SG,4,4,139,6.9,0.438,0.508,0.238,4,16.2,10.3,15.4,1,1.3,17.7,25.4,-0.4,0,-0.3,-0.12,-2.4,-1.8,-4.2,-0.1,,banede01
104,Jaren Jackson Jr.,25,MEM,C,4,4,137,9,0.479,0.19,0.345,7.2,8.2,7.7,7.4,1.4,1.3,14.1,23.7,-0.2,0,-0.2,-0.06,-2,-1.5,-3.5,-0.1,,jacksja02
105,Ausar Thompson,22,DET,SF,6,6,135,15.9,0.596,0.048,0.857,7.1,18.8,13.1,7.5,2.6,3.1,16,22,0.1,0.2,0.3,0.114,-2.6,3.1,0.5,0.1,,thompau01
106,A.J. Green,25,MIL,SG,5,1,135,13.5,0.69,0.897,0.051,1.6,10.9,6,10.9,0,0.7,0,13.1,0.4,0,0.3,0.124,2.6,0,2.6,0.2,,greenaj01
107,Tari Eason,23,HOU,PF,7,0,132,14.6,0.558,0.432,0.182,6,19.1,12.6,6.3,3.1,5.8,17.4,19.3,0,0.3,0.2,0.079,-0.8,3.1,2.3,0.1,,easonta01
108,Jaylin Williams,22,OKC,PF,16,0,129,8,0.528,0.688,0.281,3.4,19.6,11.4,16.2,2.6,1.6,25,15.7,-0.1,0.3,0.2,0.059,-5.4,4,-1.4,0,,willija07
109,Derrick Jones Jr.,27,LAC,SF,7,1,129,12.7,0.495,0.417,0.167,4.5,7.4,5.9,2.3,1.6,6,5.5,19.6,-0.1,0.1,0,0.016,-1,0.9,-0.1,0.1,,jonesde02
110,Scotty Pippen Jr.,24,MEM,PG,4,4,129,12.1,0.55,0.483,0.328,3.4,14.3,9,18.7,1.5,0.7,17.4,26,0,0,0,0,-0.7,-0.1,-0.8,0,,pippesc02
111,Isaac Okoro,24,CLE,SG,9,0,128,10.6,0.612,0.533,0.267,3.4,6.5,4.9,5.3,2.3,0.8,10.7,12.5,0.1,0.1,0.3,0.106,-2,0.8,-1.2,0,,okorois01
112,Cory Joseph,33,ORL,PG,5,5,124,9.9,0.521,0.667,0,0.9,8.3,4.2,18.3,2.1,1.7,7.7,9.6,0.1,0.1,0.2,0.066,-2.6,3,0.3,0.1,,josepco01
113,Santi Aldama,24,MEM,PF,4,1,122,11.4,0.591,0.545,0,1.8,18.4,10.4,9.9,0,0.7,10.2,16.8,0.1,0,0.1,0.032,1.8,-0.5,1.3,0.1,,aldamsa01
114,Andrew Wiggins,29,MIA,SF,4,4,122,7.7,0.485,0.465,0.233,3.7,9.4,6.4,11.8,0.4,4.7,18.8,22.2,-0.2,-0.2,-0.4,-0.177,-2.7,-2.8,-5.5,-0.1,,wiggian01
115,Kevon Looney,28,GSW,C,12,0,120,12.5,0.49,0,0.348,15.3,25.9,20.4,4.9,2.1,3.1,7,10.5,0.2,0.2,0.4,0.144,-4.4,1.1,-3.3,0,,looneke01
116,Jarace Walker,21,IND,PF,12,0,117,6.9,0.503,0.588,0.118,2.1,17.9,10.5,9.1,0.8,1.6,16.4,16.3,-0.1,0.1,0,-0.015,-3.3,-0.6,-3.9,-0.1,,walkeja02
117,Bogdan Bogdanović,32,LAC,SG,7,0,117,6.8,0.478,0.545,0.159,5,15.3,10.1,18.1,1.3,0,18.9,23,-0.2,0.1,-0.1,-0.037,-7,-0.9,-7.9,-0.2,,bogdabo01
118,Sam Hauser,27,BOS,PF,8,0,108,6.4,0.573,0.875,0.042,0,12.1,6.2,5.6,0.5,0.8,10.9,11.6,0,0.1,0.2,0.07,-2.5,0,-2.5,0,,hausesa01
119,Zach Edey,22,MEM,C,4,4,108,13.5,0.691,0,0.467,11.2,18.9,15.2,9.9,0,8.2,24.9,9.3,0.1,0.1,0.2,0.085,-0.3,2.9,2.6,0.1,,edeyza01
120,Kenrich Williams,30,OKC,PF,13,0,103,12.3,0.477,0.444,0.111,7.3,24.5,15.9,8.1,3.3,1,15.6,18.4,-0.1,0.2,0.1,0.065,-2.5,1.5,-0.9,0,,willike04
121,Cameron Payne,30,NYK,PG,14,0,102,2.1,0.391,0.568,0.081,0,9.3,4.5,12.7,2.5,1,15.4,19.3,-0.3,0.1,-0.2,-0.08,-9.4,-0.4,-9.8,-0.2,,payneca01
122,Kyle Kuzma,29,MIL,PF,5,4,102,2.4,0.385,0.286,0.171,3.2,9.7,6.2,5.6,0,0.9,7.4,17.6,-0.2,0,-0.2,-0.107,-7.4,-3.4,-10.9,-0.2,,kuzmaky01
123,Gabe Vincent,28,LAL,PG,5,0,99,4.2,0.5,0.929,0,0,5.7,2.9,7.5,0.5,1.9,6.7,7.1,0,0,0,0.008,-4,0.6,-3.4,0,,vincega01
124,Anthony Black,21,ORL,PG,5,0,89,15.3,0.48,0.351,0.351,12,17.4,14.5,0,2.4,1.2,4.5,23,0,0.1,0.1,0.052,-1.2,0.8,-0.5,0,,blackan01
125,Julian Strawther,22,DEN,SG,9,0,88,9.8,0.574,0.4,0.233,5,6.1,5.6,3.5,1.1,1,13.1,18.7,0,0,0.1,0.037,-1.3,-0.7,-2,0,,strawju01
126,Haywood Highsmith,28,MIA,SF,4,0,84,13.9,0.763,0.789,0,5.3,13.7,9.2,7.6,1.9,2.7,17.4,12.7,0.1,-0.1,0,0.01,0.5,1.6,2,0.1,,highsha01
127,Landry Shamet,27,NYK,SG,11,0,83,8.1,0.597,0.75,0.2,0,5.7,2.8,13.7,0.6,0,15.5,13.5,0.1,0,0.1,0.044,-0.5,-0.2,-0.7,0,,shamela01
128,Gary Harris,30,ORL,SG,5,0,83,4.6,0.438,0.75,0,1.3,6.2,3.5,5.1,1.9,1.2,0,4.4,0,0,0,0.028,-5.8,2.7,-3.1,0,,harriga01
129,Ja Morant,25,MEM,PG,3,3,82,15.2,0.475,0.302,0.208,1.3,6.2,3.9,38,1.2,2.2,9.4,32.5,-0.1,0,-0.1,-0.042,4.7,-0.2,4.5,0.1,,moranja01
130,Trayce Jackson-Davis,24,GSW,C,9,3,80,21.5,0.78,0,0.722,12.2,18,14.9,4.4,1.9,2.3,4,13.6,0.3,0.1,0.4,0.233,1.6,1.3,2.9,0.1,,jackstr02
131,Luke Kennard,28,MEM,SG,4,0,80,8.3,0.5,0.5,0,2.8,15.3,9.3,15.4,2.4,1.1,25,12.5,-0.1,0,0,-0.025,-2.2,1.6,-0.6,0,,kennalu01
132,Nikola Jović,21,MIA,PF,4,0,75,15.3,0.505,0.686,0.171,6,20.5,12.7,13.7,2.1,1.5,11.7,26.4,0,-0.1,-0.1,-0.08,0.9,-0.9,0,0,,jovicni01
133,Damian Lillard,34,MIL,PG,3,3,75,6.7,0.349,0.593,0.259,1.4,11.5,6.1,25.5,1.3,2.6,9.1,19.5,-0.1,0,-0.1,-0.058,-4.8,-2,-6.8,-0.1,,lillada01
134,Brook Lopez,36,MIL,C,5,4,74,8.7,0.517,0.682,0.227,4.4,8.3,6.2,7.7,0.7,6.5,14.2,16.9,0,0,0,0.01,-3.8,0.2,-3.6,0,,lopezbr01
135,Kel'el Ware,20,MIA,C,4,4,73,11.9,0.528,0.611,0,6.1,26.3,15.5,8.5,0.7,3.1,10,12.7,0,-0.1,-0.1,-0.043,-0.4,-0.5,-0.8,0,,wareke01
136,Gui Santos,22,GSW,PF,10,0,72,12.7,0.662,0.588,0.353,4.5,15,9.5,17.3,2.1,1.3,23.4,15.7,0.1,0.1,0.1,0.097,-1.6,2,0.4,0,,santogu01
137,Ajay Mitchell,22,OKC,SG,10,0,71,15.1,0.587,0.387,0.161,4.6,7.7,6.1,10.7,1.4,0,8.3,21.6,0.1,0.1,0.2,0.128,-0.2,0.2,-0.1,0,,mitchaj01
138,Jonathan Isaac,27,ORL,PF,5,0,69,12.3,0.634,0.333,0.417,7.8,9.4,8.5,4.5,1.5,1.5,12.3,10.7,0.1,0,0.1,0.081,-1.1,1.2,0.1,0,,isaacjo01
139,John Konchar,28,MEM,SG,4,0,69,8.2,0.511,0.667,0.444,4.8,14.8,10,12.3,1.4,2.6,15.7,7.7,0,0,0.1,0.047,-1.9,2.8,0.9,0.1,,konchjo01
140,Pat Spencer,28,GSW,PG,8,0,63,19.4,0.684,0.12,0.12,8.6,11.4,9.9,18.6,2.4,0,18.6,22.6,0.1,0.1,0.2,0.131,-0.2,2,1.8,0.1,,spencpa01
141,Taurean Prince,30,MIL,SF,5,2,61,1.5,0.3,0.9,0,0,10.1,4.7,16.8,1.6,1.6,33.3,10.9,-0.2,0,-0.1,-0.11,-6.4,-0.4,-6.8,-0.1,,princta02
142,Jarred Vanderbilt,25,LAL,PF,5,0,60,8.9,0.451,0.167,0.667,7.9,28.3,18.4,12.1,2.6,1.6,27.9,8.4,0,0.1,0.1,0.068,-4.2,3.4,-0.7,0,,vandeja01
143,Duncan Robinson,30,MIA,SF,4,0,59,0.3,0.539,0.857,0.286,0,8.7,4,2.5,0,0,27.6,17.1,-0.1,-0.1,-0.3,-0.228,-7.3,-4.3,-11.6,-0.1,,robindu01
144,Jericho Sims,26,MIL,C,5,0,58,13.7,0.956,0,0.5,20.6,19.1,19.9,2.4,0,1.7,40.6,9.4,0.1,0,0.1,0.088,-1.6,-1.8,-3.3,0,,simsje01
145,Terrence Shannon Jr.,24,MIN,SG,9,0,57,22.2,0.635,0.296,0.444,2.1,18.2,10.2,8.9,3.5,0,8.5,26.8,0.2,0.1,0.3,0.228,0.5,3.5,4,0.1,,shannte01
146,Jalen Pickett,25,DEN,SG,8,0,57,1.3,0.433,0.6,0,0,13.3,6.7,12.5,0,1.6,28.6,15.9,-0.2,0,-0.1,-0.121,-5.4,-2.7,-8.1,-0.1,,pickeja02
147,Tony Bradley,27,IND,C,8,0,54,8.5,0.524,0.2,1.2,16.2,14.3,15.2,6.8,0,1.7,20.7,7.9,0.1,0,0.1,0.089,-1.9,-1.9,-3.9,0,,bradlto01
148,Paul Reed,25,DET,C,5,0,53,14.8,0.658,0,0.75,15.7,16.7,16.2,2.8,4.7,4.7,32,12.7,0,0.1,0.1,0.12,-2.2,4.3,2,0.1,,reedpa01
149,Pelle Larsson,23,MIA,SG,4,0,52,12.9,0.613,0.533,0.2,4.3,17.2,10.3,12.8,1,0,10.9,16.4,0.1,-0.1,0,-0.024,-0.9,0.4,-0.5,0,,larsspe01
150,Cole Anthony,24,ORL,PG,5,0,51,-4.4,0.349,0.429,0.286,6.3,10.1,8,17.7,0,2,36.3,22.2,-0.3,0,-0.3,-0.275,-13.4,-3,-16.4,-0.2,,anthoco01
151,Delon Wright,32,NYK,PG,6,0,48,7.7,0.354,0.667,0.222,2.4,2.5,2.4,13.5,3.1,2.1,9.2,9.9,0,0,0,0.026,-1.8,2.1,0.3,0,,wrighde01
152,Caleb Houstan,22,ORL,SF,5,0,47,-4.1,0.214,0.714,0,4.6,5.5,5,3,0,2.2,12.5,15.6,-0.2,0,-0.2,-0.214,-9,-3.6,-12.6,-0.1,,houstca01
153,Ben Simmons,28,LAC,PG,5,0,42,5.5,0.333,0,0,8.3,11.4,9.8,12,1.2,8.2,25,8.8,0,0,0,0.018,-7.4,4.5,-2.9,0,,simmobe01
154,Dillon Jones,23,OKC,SF,8,0,39,18.7,0.962,0.444,0.222,5.5,14.1,9.8,14.9,1.2,2.6,33.6,16.2,0.1,0.1,0.1,0.171,3.8,3.8,7.6,0.1,,jonesdi01
155,Javonte Green,31,CLE,SG,6,0,39,16.8,0.593,0.5,0.6,2.8,24.2,13.1,6.8,5.1,0,13.7,16.1,0,0.1,0.1,0.164,-1.9,4.4,2.4,0,,greenja02
156,Kevin Knox,25,GSW,SF,5,0,38,14.4,0.473,0.3,0.25,8.5,12.6,10.5,18.9,0,2.4,8.3,28.1,0,0,0,0.026,0.3,-2.5,-2.1,0,,knoxke01
157,Vince Williams Jr.,24,MEM,SG,3,0,38,16.1,0.888,1,0.286,2.9,16.1,9.8,16.3,2.5,2.3,27.6,11.9,0.1,0,0.1,0.131,3.9,4.5,8.4,0.1,,willivi01
158,DeAndre Jordan,36,DEN,C,7,0,36,4.3,0.63,0,1.333,3.1,24,13.7,7.8,0,2.5,29.6,8.1,0,0,0,0.004,-6.8,1,-5.8,0,,jordade01
159,Craig Porter Jr.,24,CLE,PG,6,0,35,21.7,0.5,0.25,0,9.4,10.1,9.8,37.8,4.3,5.8,14.3,17.1,0.1,0.1,0.1,0.202,3,5.4,8.4,0.1,,portecr01
160,Precious Achiuwa,25,NYK,C,8,0,34,11.1,0.444,0.071,0.286,10,20.9,15.3,0,1.5,0,6,21.4,0,0,0,0.007,-3,-1.7,-4.7,0,,achiupr01
161,Zeke Nnaji,24,DEN,PF,6,0,34,3.8,0.316,0.75,0.875,9.8,12.7,11.2,7.7,1.5,5.4,15.3,16.6,-0.1,0,0,-0.068,-5.8,-0.7,-6.5,0,,nnajize01
162,Ron Holland,19,DET,SF,5,0,34,-0.6,0.479,0.6,2,10.5,9.7,10.1,0,0,2.4,39,19.5,-0.1,0,-0.1,-0.14,-10.1,-2.6,-12.7,-0.1,,hollaro01
163,Jordan Goodwin,26,LAL,PG,4,0,31,1.8,0.255,0.4,0.4,7.7,11,9.4,9.4,1.7,3.1,14.5,10.4,-0.1,0,0,-0.05,-9.1,0.3,-8.8,-0.1,,goodwjo01
164,Jaxson Hayes,24,LAL,C,4,4,31,6.2,0.394,0,0.25,19.2,11,15,5.2,0,3.1,10.1,14.9,0,0,0,0.002,-7.7,-3,-10.7,-0.1,,hayesja02
165,Jaylon Tyson,22,CLE,SG,4,0,31,32.8,0.68,0.6,0.4,10.6,15.2,12.9,36.1,3.2,3.3,10.2,27.1,0.2,0.1,0.3,0.405,10.3,5.4,15.6,0.1,,tysonja01
166,Hunter Tyson,24,DEN,PF,5,0,30,21,0.638,0.5,0.4,14.7,14.4,14.6,10.7,1.7,0,7.8,18.4,0.1,0,0.1,0.21,4.1,-0.1,4,0,,tysonhu01
167,Ryan Rollins,22,MIL,PG,3,1,30,7.4,0.385,0.538,0,3.6,4.1,3.8,19.6,1.7,0,0,19.2,0,0,0,-0.02,-2.6,-1.3,-4,0,,rolliry01
168,Ousmane Dieng,21,OKC,C,7,0,29,14.9,0.698,0.714,0.286,0,15.1,7.5,13.5,0,0,0,11.5,0.1,0,0.1,0.209,4,0.9,4.8,0,,diengou01
169,Tristan Thompson,33,CLE,C,3,0,29,13.5,0.478,0,0.5,7.6,52.9,29.4,4.6,1.7,7,21.5,13.8,0,0.1,0,0.068,-3.3,2.5,-0.9,0,,thomptr01
170,Jaylen Clark,23,MIN,SG,5,0,28,20.3,0.814,0.2,0.8,8.4,20.5,14.6,5.3,3.6,0,12.9,12,0.1,0,0.1,0.237,0.8,6.1,6.8,0.1,,clarkja02
171,Marvin Bagley III,25,MEM,PF,2,0,28,23.4,0.944,0.111,0,7.9,14.6,11.4,0,3.4,3.2,25,17.9,0,0,0.1,0.118,3.7,5.4,9.2,0.1,,baglema01
172,Johnny Furphy,20,IND,SG,8,0,27,-1.2,0,0.667,0,4.6,20.4,13,4.3,0,3.4,0,4.9,0,0,0,-0.043,-9.1,0.1,-9,0,,furphjo01
173,Aaron Holiday,28,HOU,PG,3,0,27,10.3,0.51,0.5,0.4,4.2,4.1,4.1,18,0,0,7.8,20.9,0,0,0,0.059,-2.2,-4,-6.2,0,,holidaa01
174,Braxton Key,27,GSW,SF,5,0,23,2,0.125,0.125,0,23.5,20.8,22.2,6,4.4,8,27.3,21.1,-0.2,0.1,-0.1,-0.215,-10.3,0.2,-10,0,,keybr01
