Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
206,Jeenathan Williams,25,HOU,SG,3,0,5,-21.6,0,1,0,0,0,0,0,0,0,50,17.7,-0.1,0,-0.1,-0.491,-22.2,-7.7,-29.9,0,,willije02
207,Tristan Da Silva,23,ORL,SF,2,0,5,-11.9,0,1,0,0,100,46.8,27,0,0,66.7,27.4,-0.1,0,-0.1,-0.628,-22.2,-0.5,-22.6,0,,dasiltr01
208,Andre Jackson Jr.,23,MIL,SG,2,0,5,-7.6,0,1,0,0,0,0,0,0,0,0,8.9,0,0,0,-0.239,-11.2,-6.9,-18.1,0,,jacksan01
209,Chris Livingston,21,MIL,SF,2,0,5,-5,0,1,0,0,24.6,11.5,0,0,0,0,8.9,0,0,0,-0.218,-11.3,-5.4,-16.6,0,,livinch01
210,Maxi Kleber,33,LAL,PF,1,0,5,-4.4,0.532,1,2,0,0,0,0,0,0,34.7,26.9,0,0,0,-0.232,-12.2,-6.5,-18.6,0,,klebima01
211,Jock Landale,29,HOU,C,1,0,5,8.3,0.5,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0.007,-3.3,-6.2,-9.5,0,,landajo01
212,Pacome Dadiet,19,NYK,SG,2,0,4,19.7,1,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0.191,3.9,0.1,4,0,,dadiepa01
213,Bronny James,20,LAL,SG,2,0,4,-19.8,0,1,0,0,0,0,0,0,0,0,23.4,0,0,0,-0.586,-21.1,-11.4,-32.5,0,,jamesbr02
214,Dalton Knecht,23,LAL,SF,2,0,4,45.3,0.5,0.8,0,59.4,28.3,43.5,0,0,0,0,58.4,0,0,0,0.206,27.4,-9.2,18.2,0,,knechda01
215,Alex Len,31,LAL,C,2,0,4,23.2,0,0,0,89.1,28.3,58,0,0,0,0,11.7,0,0,0,0.167,7.9,-16.4,-8.5,0,,lenal01
216,Shake Milton,28,LAL,SG,2,0,4,-13.9,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,-0.301,-19.8,-6.3,-26.1,0,,miltosh01
217,Jett Howard,21,ORL,SF,1,0,4,61.8,1.5,1,0,0,0,0,0,0,0,0,22.8,0,0,0,0.32,38.1,9.4,47.5,0,,howarje01
218,Patty Mills,36,LAC,PG,1,0,4,4.5,0.75,0.5,0,0,0,0,0,0,0,33.3,34.7,0,0,0,-0.227,-4.6,-2.9,-7.5,0,,millspa02
219,P.J. Tucker,39,NYK,SF,1,0,4,-3.9,,,,0,0,0,0,0,0,,0,0,0,0,-0.001,-8.6,2.2,-6.4,0,,tuckepj01
,League Average,,,,,,,,0.567,0.411,0.276,5.1,14.8,10,15,1.6,2,12,19.8,,,,,,,,,,-9999
